trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
72,False,"{'a': 0.02, 'e': 0.13042370873814554}",25,11,12.759469275666273,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.02, 'e': 0.11056977982006957}",20,14,11.001273213804513,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.02, 'e': 0.09067162446430967}",25,8,6.397939213528981,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
75,False,"{'a': 0.02, 'e': 0.0707372016677029}",25,15,-3.7906744239248793,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.02, 'e': 0.05077448493357918}",25,11,26.814579702801957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.02, 'e': 0.030791459082466124}",20,8,21.562687948154228,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.02, 'e': 0.010796117058267392}",25,10,23.298564281751133,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.02, 'e': -0.009203543268808336}",30,8,34.30938649050837,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.02, 'e': -0.029199522301288815}",20,16,7.520107771901667,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.02, 'e': -0.04918382191417055}",20,9,16.582101944125252,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.02, 'e': -0.06914844865406218}",30,7,34.17533812392092,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.02, 'e': -0.08908541693645919}",20,10,21.769157681705387,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.02, 'e': -0.10898675223987112}",25,17,14.702970883948499,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.02, 'e': -0.12884449429552464}",35,25,19.23587649197293,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.02, 'e': -0.14865070027136365}",25,8,-10.318707303889493,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.02, 'e': -0.16839744794907702}",20,6,23.470068242621153,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.02, 'e': -0.18807683889288013}",20,13,14.730598654837156,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.02, 'e': -0.2076810016087838}",25,15,14.95004418658143,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.02, 'e': -0.2272020946930871}",35,20,24.361816762854616,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.02, 'e': -0.24663230996883403}",20,11,14.81105279496649,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.02, 'e': -0.2659638756089804}",20,0,31.36724833531435,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.02, 'e': -0.28518905924502086}",30,19,19.4893069971601,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.02, 'e': -0.3043001710598334}",25,20,11.705918164641364,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.02, 'e': -0.3232895668635036}",20,11,16.86764760504102,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.02, 'e': -0.3421496511508982}",25,16,15.375443822945899,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.02, 'e': -0.36087288013976715}",20,8,-22.159278464887013,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.02, 'e': -0.3794517647881545}",20,9,21.753004019691293,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.02, 'e': -0.397878873789916}",20,5,26.795041852580308,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.02, 'e': -0.4161468365471424}",25,13,20.480279306012275,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.02, 'e': -0.4342483461183005}",30,19,21.35131513864541,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.02, 'e': -0.452176162140912}",20,10,17.79510464736573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.02, 'e': -0.4699231137276022}",30,24,13.469539972712873,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.02, 'e': -0.48748210233435935}",20,12,-26.22689074648308,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.02, 'e': -0.5048461045998575}",20,12,15.424799775745088,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.02, 'e': -0.5220081751547073}",25,7,31.15091590194493,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.02, 'e': -0.5389614493995115}",30,13,26.97063935925688,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.02, 'e': -0.5556991462506127}",30,20,19.195528543930088,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.02, 'e': -0.5722145708524368}",25,7,30.79602250846594,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.02, 'e': -0.5885011172553458}",25,19,9.90020173999286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.02, 'e': -0.6045522710579296}",20,9,21.150176896412635,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.02, 'e': -0.6203616120126798}",20,14,8.901516224050928,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.02, 'e': -0.6359228165940027}",25,10,28.080627506423525,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.02, 'e': -0.6512296605275458}",20,6,23.312917712935825,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.02, 'e': -0.6662760212798243}",20,8,20.51189604904572,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.02, 'e': -0.6810558805071525}",25,12,25.19359757621837,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.02, 'e': -0.695563326462902}",20,6,25.408129092211272,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.02, 'e': -0.7097925563621205}",20,8,7.758149470983374,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.02, 'e': -0.7237378787025686}",25,17,13.910926630083592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.02, 'e': -0.7373937155412454}",20,0,32.6915000316177,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.02, 'e': -0.7507546047254909}",25,20,8.337983075082928,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.02, 'e': -0.7638152020777741}",20,0,31.81011326223014,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.02, 'e': -0.776570283533293}",20,16,6.994089603078153,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.02, 'e': -0.7890147472295311}",20,14,13.192570560548516,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.02, 'e': -0.8011436155469337}",20,5,24.713599990887523,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.02, 'e': -0.81295203709989}",20,9,21.6242657131871,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.02, 'e': -0.8244352886772224}",35,22,26.858192285714367,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.02, 'e': -0.8355887771314077}",20,12,16.58097447205205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.02, 'e': -0.8464080412157756}",20,11,15.243930982159444,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.02, 'e': -0.8568887533689473}",25,13,20.260307159017017,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.02, 'e': -0.8670267214458025}",20,8,21.840843433281336,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.02, 'e': -0.8768178903942815}",25,15,20.893414244313472,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.02, 'e': -0.886258343877352}",20,7,22.449879404711506,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.02, 'e': -0.8953443058394921}",25,5,34.30350170911171,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.02, 'e': -0.9040721420170612}",25,13,27.13564198784829,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.02, 'e': -0.912438361391958}",30,24,10.602970825831077,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.02, 'e': -0.9204396175879807}",20,6,22.8717931976757,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.02, 'e': -0.9280727102093327}",25,15,18.199573176671294,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.02, 'e': -0.9353345861207388}",20,5,30.170465740493324,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.02, 'e': -0.9422223406686583}",25,15,20.113457501607602,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.02, 'e': -0.948733218843107}",25,13,19.439029527807953,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.02, 'e': -0.9548646163796264}",30,19,18.17719161176027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.02, 'e': -0.9606140808009522}",25,8,29.66866381004806,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.02, 'e': -0.9659793123979747}",30,7,39.56319734749658,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.02, 'e': -0.9709581651495905}",35,21,26.6844296809127,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.02, 'e': -0.9755486475810826}",25,7,31.505012788630516,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.02, 'e': -0.9797489235606842}",20,15,8.406812731500107,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.02, 'e': -0.9835573130340064}",30,15,29.248440446035985,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.02, 'e': -0.9869722926960376}",25,15,19.503292476675938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.02, 'e': -0.9899924966004454}",30,24,11.320196670140337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.02, 'e': -0.9926167167059371}",25,15,19.499807344899086,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.02, 'e': -0.9948439033594595}",20,7,22.091068820511833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.02, 'e': -0.9966731657160466}",25,13,26.488532132776136,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.02, 'e': -0.9981037720951457}",20,14,11.364693270020203,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.02, 'e': -0.9991351502732795}",25,7,28.237305243825546,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.02, 'e': -0.9997668877129283}",25,13,22.14374972913537,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.02, 'e': -0.9999987317275395}",20,3,33.079615791799036,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.02, 'e': -0.9998305895825983}",20,0,29.28687942782752,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.02, 'e': -0.9992625285327209}",35,21,24.528137998714072,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.02, 'e': -0.9982947757947531}",30,15,28.220090958756714,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.02, 'e': -0.9969277184568869}",25,19,9.363374110145495,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.02, 'e': -0.9951619033238304}",20,13,10.939411830729636,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.02, 'e': -0.9929980366980926}",30,16,22.518751323369578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.02, 'e': -0.990436984097473}",30,16,25.727249471412605,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.02, 'e': -0.9874797699088649}",30,17,23.587478446483438,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.02, 'e': -0.9841275769785145}",25,15,17.51340895980809,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
